姓名,职位,杰出票数,优秀票数
陆关林,杭州天和建设集团有限公司董事长,0,232245
陆铜华,千年舟新材科技集团有限公司董事长,0,211714
陈宇,杭州呯嘭智能技术有限公司CEO兼全球首席执行官,0,10765
陈建华,浙江南大投资控股集团有限公司董事长,0,11357
陈敏,杭州利星百货集团有限公司董事长,263,140508
陈震山,杭州银行股份有限公司党委书记、董事长,0,27094
陈燎罕,杭州涂鸦信息技术有限公司创始人兼董事长,0,10789
邵伯虎,浙江协和集团有限公司董事长,0,10642
范渊,杭州安恒信息技术股份有限公司董事长兼总裁,0,13935
林东,杭州绿盛集团有限公司创始人、董事长,0,11926
林志明,杭州微拍堂文化创意有限公司董事长,0,12713
金李梅,杭州华光焊接新材料股份有限公司董事长兼总经理,0,16905
金利伟,杭州可靠护理用品股份有限公司董事长兼总经理,0,113759
周良璋,杭州海兴电力科技股份有限公司董事长,0,10685
郑建强,杭州联合农村商业银行行长,1010,27474
俞龙生,浙江龙生汽车部件科技有限公司董事长,0,20961
闻卫东,浙江杰立建设集团董事长、党支部书记,0,116766
姚华俊,浙江同富特美刻家居用品股份有限公司董事长,0,23878
高玲,浙江运达风电股份有限公司总经理,0,22734
梁铭,海明控股集团有限公司总裁,0,29186
彭君,浙江益海嘉里食品工业有限公司总经理,0,11078
蒋慧儿,杭州电化集团有限公司党委书记、董事长、总裁,0,30367
韩利平,杭州饮食服务集团有限公司总经理,0,55614
韩树人,鲜丰水果股份有限公司创始人、董事长,0,18744
程维,杭州青奇科技有限公司董事长，滴滴出行创始人、董事长兼首席执行官,0,10891
谢如栋,杭州遥望网络股份有限公司董事长兼CEO,0,30946
谢宏,贝因美股份有限公司董事长,0,15917
赖梅松,中通快递股份有限公司董事长兼首席执行官,1,58350
訾振军,杭州启明医疗器械股份有限公司总经理,0,10727
蔡 节,杭州坤泽实业股份有限公司董事长,0,366133
廖杰远,微医云（杭州）控股有限公司董事长兼CEO,0,120691
潘余明,建德市五星车业有限公司董事长,0,20451
